"","countyfips","statefip","year","population","anti_racial.max","anti_racial.sum","anti_racial.mean","racial_crime_diff","racial_crime_per_cap","racial_crime_per_1000"
"68",1,12,2012,247336,1,3,0.275229357798165,2.72477064220183,1.21292492803312e-05,0.0121292492803312
"69",1,12,2013,247336,1,1,0.275229357798165,0.724770642201835,4.04308309344374e-06,0.00404308309344374
"70",1,12,2014,247336,0,0,0.275229357798165,-0.275229357798165,0,0
"71",1,12,2015,247336,1,2,0.275229357798165,1.72477064220183,8.08616618688747e-06,0.00808616618688747
"72",1,12,2016,247336,1,4,0.275229357798165,3.72477064220183,1.61723323737749e-05,0.0161723323737749
"73",1,16,2005,392365,1,7,0.553719008264463,6.44628099173554,1.78405311380985e-05,0.0178405311380985
"74",1,16,2006,392365,1,3,0.553719008264463,2.44628099173554,7.64594191632791e-06,0.00764594191632791
"75",1,16,2007,392365,1,6,0.553719008264463,5.44628099173554,1.52918838326558e-05,0.0152918838326558
"76",1,16,2008,392365,1,10,0.553719008264463,9.44628099173554,2.54864730544264e-05,0.0254864730544264
"77",1,16,2009,392365,1,3,0.553719008264463,2.44628099173554,7.64594191632791e-06,0.00764594191632791
"78",1,16,2010,392365,1,5,0.553719008264463,4.44628099173554,1.27432365272132e-05,0.0127432365272132
"79",1,16,2011,392365,1,5,0.553719008264463,4.44628099173554,1.27432365272132e-05,0.0127432365272132
"80",1,16,2012,392365,1,10,0.553719008264463,9.44628099173554,2.54864730544264e-05,0.0254864730544264
"81",1,16,2013,392365,1,9,0.553719008264463,8.44628099173554,2.29378257489837e-05,0.0229378257489837
"82",1,16,2014,392365,1,8,0.553719008264463,7.44628099173554,2.03891784435411e-05,0.0203891784435411
"83",1,16,2015,392365,0,0,0.553719008264463,-0.553719008264463,0,0
"84",1,16,2016,392365,1,1,0.553719008264463,0.446280991735537,2.54864730544264e-06,0.00254864730544264
"85",1,17,2012,67103,1,1,0.666666666666667,0.333333333333333,1.49024633771963e-05,0.0149024633771963
"86",1,17,2013,67103,1,1,0.666666666666667,0.333333333333333,1.49024633771963e-05,0.0149024633771963
"87",1,20,2005,13371,0,0,0.571428571428571,-0.571428571428571,0,0
"88",1,20,2007,13371,0,0,0.571428571428571,-0.571428571428571,0,0
"89",1,20,2008,13371,1,2,0.571428571428571,1.42857142857143,0.000149577443721487,0.149577443721487
"90",1,20,2009,13371,1,1,0.571428571428571,0.428571428571429,7.47887218607434e-05,0.0747887218607434
"91",1,20,2010,13371,1,2,0.571428571428571,1.42857142857143,0.000149577443721487,0.149577443721487
"92",1,20,2011,13371,1,1,0.571428571428571,0.428571428571429,7.47887218607434e-05,0.0747887218607434
"93",1,20,2013,13371,1,1,0.571428571428571,0.428571428571429,7.47887218607434e-05,0.0747887218607434
"94",1,20,2015,13371,1,1,0.571428571428571,0.428571428571429,7.47887218607434e-05,0.0747887218607434
"95",1,21,2011,18656,0,0,0,0,0,0
"96",1,21,2014,18656,0,0,0,0,0,0
"97",1,22,2005,61773,0,0,0,0,0,0
"98",1,23,2005,107702,1,1,0.25,0.75,9.28487864663609e-06,0.00928487864663609
"99",1,23,2006,107702,1,2,0.25,1.75,1.85697572932722e-05,0.0185697572932722
"100",1,23,2007,107702,1,1,0.25,0.75,9.28487864663609e-06,0.00928487864663609
"101",1,23,2008,107702,1,2,0.25,1.75,1.85697572932722e-05,0.0185697572932722
"102",1,23,2009,107702,1,1,0.25,0.75,9.28487864663609e-06,0.00928487864663609
"103",1,23,2010,107702,0,0,0.25,-0.25,0,0
"104",1,23,2011,107702,1,1,0.25,0.75,9.28487864663609e-06,0.00928487864663609
"105",1,23,2012,107702,1,1,0.25,0.75,9.28487864663609e-06,0.00928487864663609
"106",1,23,2013,107702,0,0,0.25,-0.25,0,0
"107",1,23,2015,107702,1,1,0.25,0.75,9.28487864663609e-06,0.00928487864663609
"108",1,23,2016,107702,1,2,0.25,1.75,1.85697572932722e-05,0.0185697572932722
"109",1,24,2005,75087,1,4,0.944444444444444,3.05555555555556,5.32715383488487e-05,0.0532715383488487
"110",1,24,2006,75087,1,5,0.944444444444444,4.05555555555556,6.65894229360608e-05,0.0665894229360608
"111",1,24,2007,75087,1,4,0.944444444444444,3.05555555555556,5.32715383488487e-05,0.0532715383488487
"112",1,24,2009,75087,1,1,0.944444444444444,0.0555555555555556,1.33178845872122e-05,0.0133178845872122
"113",1,24,2011,75087,1,1,0.944444444444444,0.0555555555555556,1.33178845872122e-05,0.0133178845872122
"114",1,24,2012,75087,1,2,0.944444444444444,1.05555555555556,2.66357691744243e-05,0.0266357691744243
"115",1,25,2005,215888,1,10,0.401960784313726,9.59803921568627,4.63203142370118e-05,0.0463203142370118
"116",1,25,2006,215888,1,6,0.401960784313726,5.59803921568627,2.77921885422071e-05,0.0277921885422071
"117",1,25,2007,215888,1,3,0.401960784313726,2.59803921568627,1.38960942711035e-05,0.0138960942711035
"118",1,25,2008,215888,0,0,0.401960784313726,-0.401960784313726,0,0
"119",1,25,2009,215888,1,4,0.401960784313726,3.59803921568627,1.85281256948047e-05,0.0185281256948047
"120",1,25,2010,215888,1,5,0.401960784313726,4.59803921568627,2.31601571185059e-05,0.0231601571185059
"121",1,25,2011,215888,1,3,0.401960784313726,2.59803921568627,1.38960942711035e-05,0.0138960942711035
"122",1,25,2012,215888,1,6,0.401960784313726,5.59803921568627,2.77921885422071e-05,0.0277921885422071
"123",1,25,2013,215888,0,0,0.401960784313726,-0.401960784313726,0,0
"124",1,25,2014,215888,1,1,0.401960784313726,0.598039215686274,4.63203142370118e-06,0.00463203142370118
"125",1,25,2015,215888,1,3,0.401960784313726,2.59803921568627,1.38960942711035e-05,0.0138960942711035
"126",1,25,2016,215888,0,0,0.401960784313726,-0.401960784313726,0,0
"127",1,28,2009,32297,1,1,0.5,0.5,3.09626281078738e-05,0.0309626281078738
"128",1,28,2014,32297,0,0,0.5,-0.5,0,0
"129",1,29,2005,25607,1,2,0.5,1.5,7.81036435349709e-05,0.0781036435349709
"130",1,29,2006,25607,0,0,0.5,-0.5,0,0
"131",1,29,2007,25607,1,2,0.5,1.5,7.81036435349709e-05,0.0781036435349709
"132",1,29,2010,25607,1,1,0.5,0.5,3.90518217674855e-05,0.0390518217674855
"133",1,29,2011,25607,0,0,0.5,-0.5,0,0
"134",1,29,2015,25607,0,0,0.5,-0.5,0,0
"135",1,32,2006,24877,1,1,0.666666666666667,0.333333333333333,4.01977730433734e-05,0.0401977730433734
"136",1,32,2010,24877,1,1,0.666666666666667,0.333333333333333,4.01977730433734e-05,0.0401977730433734
"137",1,33,2006,60088,1,1,0.65,0.35,1.66422580215684e-05,0.0166422580215684
"138",1,33,2007,60088,1,1,0.65,0.35,1.66422580215684e-05,0.0166422580215684
"139",1,33,2008,60088,1,2,0.65,1.35,3.32845160431367e-05,0.0332845160431367
"140",1,33,2009,60088,1,2,0.65,1.35,3.32845160431367e-05,0.0332845160431367
