"","countyfips","statefip","year","anti_native.max","anti_native.sum"
"227","001",NA,2009,0,0
"228","001",NA,2010,0,0
"229","003","01",2011,0,0
"230","003","01",2016,0,0
"231","003","04",2005,0,0
"232","003","04",2007,0,0
"233","003","04",2008,0,0
"234","003","04",2009,0,0
"235","003","04",2012,0,0
"236","003","04",2013,0,0
"237","003","05",2005,0,0
"238","003","05",2006,0,0
"239","003","05",2007,0,0
"240","003","05",2010,0,0
"241","003","06",2013,0,0
"242","003","08",2011,0,0
"243","003","09",2005,0,0
"244","003","09",2006,0,0
"245","003","09",2007,1,1
"246","003","09",2008,1,1
"247","003","09",2009,0,0
"248","003","09",2010,0,0
"249","003","09",2011,0,0
"250","003","09",2012,0,0
"251","003","09",2013,0,0
"252","003","09",2014,1,1
"253","003","09",2015,0,0
"254","003","09",2016,1,1
"255","003","10",2005,0,0
"256","003","10",2006,0,0
"257","003","10",2007,0,0
"258","003","10",2008,0,0
"259","003","10",2009,0,0
"260","003","10",2010,0,0
"261","003","10",2011,0,0
"262","003","10",2012,0,0
"263","003","10",2013,0,0
"264","003","10",2014,0,0
"265","003","10",2015,0,0
"266","003","10",2016,0,0
"267","003","12",2011,0,0
"268","003","12",2012,0,0
"269","003","17",2011,0,0
"270","003","17",2012,0,0
"271","003","17",2014,0,0
"272","003","18",2005,0,0
"273","003","18",2006,0,0
"274","003","18",2007,0,0
"275","003","18",2008,0,0
"276","003","18",2009,0,0
"277","003","18",2010,0,0
"278","003","18",2013,0,0
"279","003","18",2014,0,0
"280","003","18",2015,0,0
"281","003","18",2016,0,0
"282","003","20",2005,0,0
"283","003","20",2008,0,0
"284","003","21",2009,0,0
"285","003","21",2015,0,0
"286","003","23",2005,0,0
"287","003","23",2006,0,0
"288","003","23",2009,0,0
"289","003","23",2011,0,0
"290","003","23",2012,0,0
"291","003","24",2005,0,0
"292","003","24",2006,0,0
"293","003","24",2007,0,0
"294","003","24",2008,0,0
"295","003","24",2009,0,0
"296","003","24",2010,0,0
"297","003","24",2011,0,0
"298","003","24",2013,0,0
"299","003","24",2016,0,0
"300","003","25",2005,0,0
"301","003","25",2006,0,0
"302","003","25",2007,0,0
"303","003","25",2008,0,0
"304","003","25",2009,0,0
"305","003","25",2010,0,0
"306","003","25",2011,0,0
"307","003","25",2012,0,0
"308","003","25",2013,0,0
"309","003","25",2014,0,0
"310","003","25",2016,0,0
"311","003","26",2010,0,0
"312","003","27",2005,0,0
"313","003","27",2006,0,0
"314","003","27",2007,0,0
"315","003","27",2008,0,0
"316","003","27",2009,0,0
"317","003","27",2010,0,0
"318","003","27",2011,0,0
"319","003","27",2012,0,0
"320","003","27",2013,1,1
"321","003","27",2014,0,0
"322","003","27",2015,0,0
"323","003","27",2016,0,0
"324","003","29",2005,0,0
"325","003","30",2005,1,7
"326","003","30",2006,1,4
"327","003","30",2010,1,1
"328","003","30",2012,0,0
"329","003","30",2016,1,1
"330","003","32",2005,1,1
"331","003","32",2006,0,0
"332","003","32",2007,0,0
"333","003","32",2008,0,0
"334","003","32",2009,0,0
"335","003","32",2010,0,0
